day,all
20220908,1
20220908,36
20220908,12
20220908,5
20220908,14
20220908,3
20220908,24
20220908,11
20220908,6
20220908,13
20220908,9
20220908,2
20220908,3
20220908,258
20220908,17
20220908,2
20220908,6
20220908,84
20220908,19
20220908,21
20220908,33
20220908,380
20220908,6
20220908,184
20220908,14
20220908,15
20220908,178
20220908,4
20220908,551
20220908,15
20220908,88
20220908,1
20220908,5
20220908,1
20220908,1750
20220908,391
20220908,109
20220908,722
20220908,3
20220908,65
20220908,4
20220908,120
20220908,192
20220908,159
20220908,3299
20220908,60
20220908,479
20220908,124
20220908,1
20220908,7
20220908,303
20220908,2406
20220908,23
20220908,2
20220908,547
20220908,845
20220908,2
20220908,13582
20220908,110
20220908,1352
20220908,219
20220908,30
20220908,883
20220908,125
20220908,119
20220908,143
20220908,40
20220908,127
20220908,61
20220908,2841
20220908,292
20220908,17
20220908,1262
20220908,221
20220908,336
20220908,294
20220908,999
20220908,968
20220908,1
20220908,122
20220908,3
20220908,166
20220908,2286
20220908,201
20220908,55
20220908,811
20220908,8670
20220908,2062
20220908,9033
20220908,46695
20220908,7744
20220908,2325
20220908,19311
20220908,15
20220908,2006
20220908,1516
20220908,68865
20220908,16327
20220908,473
20220908,2792
20220908,5689
20220908,79648
20220908,642
20220908,286204
20220908,608872
20220908,517226
20220908,520508
20220908,11121
20220908,83388
20220908,4672131
20220908,2414735
20220907,551614
20220907,10879
20220907,87123
20220907,4816407
20220907,2444925
20220907,27
20220907,8
20220907,9
20220907,1
20220907,17
20220907,21
20220907,154
20220907,9
20220907,45
20220907,2
20220907,67
20220907,7
20220907,19
20220907,4
20220907,4296
20220907,25
20220907,3
20220907,13
20220907,88
20220907,18
20220907,110
20220907,2
20220907,128
20220907,458
20220907,15
20220907,420
20220907,32
20220907,16
20220907,426
20220907,2
20220907,213
20220907,198
20220907,1
20220907,22
20220907,35
20220907,7
20220907,23
20220907,20
20220907,17
20220907,624
20220907,1
20220907,23
20220907,11
20220907,15
20220907,9
20220907,50
20220907,43
20220907,35
20220907,109
20220907,20
20220907,3
20220907,1
20220907,6
20220907,56
20220907,2
20220907,11
20220907,16
20220907,28
20220907,1
20220907,13
20220907,17
20220907,1
20220907,12
20220907,342
20220907,69
20220907,2
20220907,204
20220907,2
20220907,1
20220907,1
20220907,350
20220907,91
20220907,2
20220907,9
20220907,4
20220907,14
20220907,3
20220907,14
20220907,5
20220907,12
20220907,35
20220907,12
20220907,12
20220907,55
20220907,28
20220907,8
20220907,6
20220907,5
20220907,2
20220907,42
20220907,9
20220907,8
20220907,4
20220907,36
20220907,9
20220907,4
20220907,13
20220907,12
20220907,2
20220907,212
20220907,17
20220907,5
20220907,6
20220907,80
20220907,23
20220907,18
20220907,46
20220907,329
20220907,4
20220907,210
20220907,12
20220907,17
20220907,150
20220907,5
20220907,568
20220907,17
20220907,62
20220907,2
20220907,1
20220907,25
20220907,104
20220907,2
20220907,1617
20220907,351
20220907,94
20220907,726
20220907,8
20220907,69
20220907,9
20220907,179
20220907,127
20220907,162
20220907,3149
20220907,59
20220907,371
20220907,112
20220907,2
20220907,3
20220907,325
20220907,2140
20220907,26
20220907,4
20220907,420
20220907,923
20220907,1
20220907,13403
20220907,90
20220907,1428
20220907,224
20220907,19
20220907,788
20220907,128
20220907,106
20220907,134
20220907,57
20220907,103
20220907,53
20220907,2797
20220907,294
20220907,14
20220907,1290
20220907,232
20220907,336
20220907,274
20220907,977
20220907,872
20220907,1
20220907,135
20220907,4
20220907,129
20220907,1899
20220907,190
20220907,60
20220907,725
20220907,8344
20220907,1853
20220907,9330
20220907,48457
20220907,8094
20220907,2458
20220907,18590
20220907,15
20220907,1948
20220907,1281
20220907,70409
20220907,15537
20220907,451
20220907,2834
20220907,4873
20220907,85680
20220907,642
20220907,291301
20220907,617222
20220907,541248
20220906,91
20220906,1100
20220906,169
20220906,8
20220906,705
20220906,105
20220906,90
20220906,135
20220906,37
20220906,60
20220906,82
20220906,2315
20220906,264
20220906,7
20220906,199
20220906,1073
20220906,309
20220906,281
